City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,geraldton,-28.7667,114.6,72.01,78,0,17.27,AU,clear sky
1,nanortalik,60.1432,-45.2371,26.04,83,100,35.79,GL,overcast clouds
2,nyurba,63.2842,118.3319,-49.81,100,62,3.83,RU,broken clouds
3,mar del plata,-38.0023,-57.5575,73.42,91,40,9.22,AR,scattered clouds
4,port lincoln,-34.7333,135.8667,64.51,93,100,8.28,AU,overcast clouds
5,derzhavinsk,51.1,66.3167,9.79,83,100,15.43,KZ,overcast clouds
6,san felipe,10.3399,-68.7425,73.49,71,79,6.55,VE,broken clouds
7,rikitea,-23.1203,-134.9692,78.06,74,70,9.04,PF,light rain
8,castro,-24.7911,-50.0119,78.57,60,0,1.52,BR,clear sky
9,mataura,-46.1927,168.8643,49.62,95,0,1.74,NZ,clear sky
10,albany,42.6001,-73.9662,38.57,67,80,8.23,US,broken clouds
11,fortuna,40.5982,-124.1573,46.92,90,100,4.61,US,overcast clouds
12,silvino lobos,12.3,124.8333,73.42,99,100,5.91,PH,overcast clouds
13,hermanus,-34.4187,19.2345,64.8,77,100,16.15,ZA,light rain
14,atuona,-9.8,-139.0333,78.51,78,100,20.62,PF,overcast clouds
15,dongying,37.4564,118.4856,29.66,21,0,8.01,CN,clear sky
16,saint anthony,45.0205,-93.218,3.15,74,0,11.5,US,clear sky
17,kruisfontein,-34.0033,24.7314,63.88,78,80,18.59,ZA,light rain
18,esperance,-33.8667,121.9,61.45,62,0,11.1,AU,clear sky
19,busselton,-33.65,115.3333,60.91,67,5,17.09,AU,clear sky
20,mount gambier,-37.8333,140.7667,59.59,97,100,4.03,AU,light rain
21,ilulissat,69.2167,-51.1,15.82,67,75,11.5,GL,broken clouds
22,vardo,70.3705,31.1107,33.82,92,100,1.79,NO,light snow
23,tuktoyaktuk,69.4541,-133.0374,-23.8,76,0,6.91,CA,clear sky
24,avarua,-21.2078,-159.775,78.85,89,75,4.61,CK,broken clouds
25,kahului,20.8947,-156.47,71.83,99,100,12.66,US,moderate rain
26,moussoro,13.6408,16.4901,98.47,6,100,6.31,TD,overcast clouds
27,east london,-33.0153,27.9116,74.34,68,0,26.46,ZA,clear sky
28,la ronge,55.1001,-105.2842,-7.35,71,75,14.97,CA,broken clouds
29,pisco,-13.7,-76.2167,75.25,83,98,5.75,PE,mist
30,taltal,-25.4,-70.4833,69.98,76,18,3.89,CL,few clouds
31,port alfred,-33.5906,26.891,75.18,80,40,10.0,ZA,scattered clouds
32,bluff,-46.6,168.3333,56.62,83,73,5.17,NZ,broken clouds
33,ushuaia,-54.8,-68.3,58.66,44,0,27.63,AR,clear sky
34,vestmanna,62.1564,-7.1664,41.92,87,100,11.5,FO,overcast clouds
35,jamestown,42.097,-79.2353,33.39,79,100,15.01,US,overcast clouds
36,assiniboia,49.6334,-105.9845,-7.78,77,89,12.66,CA,overcast clouds
37,rampura,30.25,75.2333,55.9,38,5,5.28,IN,clear sky
38,bengkulu,-3.8004,102.2655,77.72,88,100,12.1,ID,overcast clouds
39,dalbandin,28.8947,64.4101,50.76,63,95,1.07,PK,overcast clouds
40,sabha,27.0377,14.4283,61.02,18,0,6.73,LY,clear sky
41,riberalta,-10.9833,-66.1,80.8,83,75,9.22,BO,broken clouds
42,santiago,-33.4569,-70.6483,85.55,32,0,4.61,CL,clear sky
43,georgetown,5.4112,100.3354,81.23,84,40,9.22,MY,scattered clouds
44,mezen,65.8522,44.24,24.91,94,100,10.89,RU,light snow
45,yumen,40.2833,97.2,18.09,35,0,10.76,CN,clear sky
46,carnarvon,-24.8667,113.6333,76.17,76,0,18.9,AU,clear sky
47,severo-kurilsk,50.6789,156.125,24.91,71,100,10.2,RU,overcast clouds
48,christchurch,-43.5333,172.6333,54.95,80,21,3.44,NZ,few clouds
49,muzhi,65.3667,64.6667,8.98,86,14,9.8,RU,few clouds
50,hithadhoo,-0.6,73.0833,81.79,74,97,12.17,MV,overcast clouds
51,haines junction,60.7522,-137.5108,-0.04,100,94,1.43,CA,overcast clouds
52,port blair,11.6667,92.75,82.44,74,40,9.22,IN,mist
53,solnechnyy,50.7214,136.6319,-23.06,97,36,3.62,RU,scattered clouds
54,nemuro,43.3236,145.575,20.3,71,100,19.98,JP,overcast clouds
55,koroni,36.8,21.95,57.07,56,27,5.68,GR,scattered clouds
56,trencianske teplice,48.9106,18.1669,34.77,79,100,7.83,SK,overcast clouds
57,kapaa,22.0752,-159.319,70.12,72,75,8.05,US,broken clouds
58,provideniya,64.3833,-173.3,16.66,95,100,6.82,RU,light snow
59,vaini,-21.2,-175.2,75.36,100,20,4.61,TO,few clouds
60,saskylakh,71.9167,114.0833,-42.48,100,99,3.0,RU,overcast clouds
61,tocopilla,-22.092,-70.1979,73.42,78,90,7.2,CL,overcast clouds
62,chokurdakh,70.6333,147.9167,-33.61,100,88,2.62,RU,overcast clouds
63,kurumkan,54.3,110.3,1.71,91,55,5.55,RU,broken clouds
64,san patricio,28.017,-97.5169,64.27,97,97,2.04,US,overcast clouds
65,muskogee,35.5834,-95.3336,50.07,77,75,11.5,US,broken clouds
66,tasiilaq,65.6145,-37.6368,24.96,95,100,8.41,GL,snow
67,airai,-8.9266,125.4092,62.26,93,96,0.94,TL,overcast clouds
68,hobart,-42.8794,147.3294,62.46,81,40,4.61,AU,scattered clouds
69,cape town,-33.9258,18.4232,74.1,60,40,31.07,ZA,scattered clouds
70,camacha,33.0833,-16.3333,58.42,63,40,18.41,PT,scattered clouds
71,qaanaaq,77.484,-69.3632,-5.42,64,0,7.87,GL,clear sky
72,lasa,46.6166,10.7002,38.03,77,62,2.64,IT,broken clouds
73,sweetwater,25.7634,-80.3731,75.02,79,75,16.11,US,broken clouds
74,port moresby,-9.4431,147.1797,76.42,94,75,5.75,PG,light intensity shower rain
75,ayapel,8.3137,-75.1398,79.32,76,92,2.57,CO,overcast clouds
76,batticaloa,7.7102,81.6924,75.76,69,100,12.12,LK,overcast clouds
77,tilichiki,60.4667,166.1,21.09,94,100,7.43,RU,overcast clouds
78,puerto ayora,-0.7393,-90.3518,80.56,85,43,1.99,EC,scattered clouds
79,saint-philippe,-21.3585,55.7679,81.99,89,100,4.09,RE,light rain
80,cayenne,4.9333,-52.3333,78.84,73,100,10.36,GF,overcast clouds
81,new norfolk,-42.7826,147.0587,62.1,62,1,2.51,AU,clear sky
82,waipawa,-41.4122,175.5153,62.06,99,100,5.5,NZ,light rain
83,longyearbyen,78.2186,15.6401,21.04,68,40,13.8,SJ,scattered clouds
84,kawalu,-7.3817,108.2082,72.54,97,100,1.77,ID,overcast clouds
85,kaitangata,-46.2817,169.8464,49.98,94,5,5.01,NZ,clear sky
86,manyana,-23.4,21.7167,94.5,17,27,5.08,BW,scattered clouds
87,maniitsoq,65.4167,-52.9,16.32,81,100,27.89,GL,overcast clouds
88,mora,11.0461,14.1401,97.39,8,49,3.44,CM,scattered clouds
89,burns lake,54.2331,-125.7533,17.02,97,100,3.24,CA,overcast clouds
90,pak phanang,8.3511,100.202,75.22,90,100,8.99,TH,overcast clouds
91,alihe,50.5667,123.7167,-13.32,97,100,0.83,CN,overcast clouds
92,yarmouth,41.7057,-70.2286,44.74,70,75,12.66,US,broken clouds
93,buala,-8.145,159.5921,79.34,81,87,2.15,SB,light rain
94,ribeira grande,38.5167,-28.7,61.2,67,40,15.99,PT,scattered clouds
95,port augusta,-32.5,137.7667,72.01,78,100,9.42,AU,light rain
96,tefe,-3.3542,-64.7114,82.51,83,40,3.44,BR,scattered clouds
97,labuhan,-6.8844,112.2051,78.35,86,100,10.83,ID,light rain
98,severo-yeniseyskiy,60.3725,93.0408,0.19,99,100,4.72,RU,overcast clouds
99,kirkwall,58.9848,-2.9587,46.45,81,40,14.97,GB,scattered clouds
100,klyuchi,52.2667,79.1667,14.23,85,6,13.91,RU,clear sky
101,saint-joseph,-21.3667,55.6167,80.98,87,100,4.68,RE,light rain
102,kununurra,-15.7667,128.7333,82.38,89,100,5.75,AU,overcast clouds
103,katsuura,35.1333,140.3,40.08,55,35,12.66,JP,scattered clouds
104,aklavik,68.2191,-135.0107,-23.8,76,0,5.75,CA,clear sky
105,aketi,2.7388,23.7833,94.51,26,100,1.12,CD,overcast clouds
106,barrow,71.2906,-156.7887,-11.18,70,0,14.97,US,clear sky
107,astaneh-ye ashrafiyeh,37.2596,49.9444,46.33,66,100,5.44,IR,overcast clouds
108,shingu,33.7333,135.9833,34.56,64,3,13.29,JP,clear sky
109,amapa,1.0,-52.0,79.52,73,100,3.27,BR,overcast clouds
110,san quintin,30.4833,-115.95,52.23,53,100,3.83,MX,overcast clouds
111,punta arenas,-53.15,-70.9167,59.02,51,75,41.43,CL,broken clouds
112,dunmore town,25.5,-76.65,73.13,76,86,22.21,BS,overcast clouds
113,chuy,-33.6971,-53.4616,84.58,53,97,6.15,UY,overcast clouds
114,jinchang,38.4953,102.1739,22.68,23,61,1.95,CN,broken clouds
115,hilo,19.7297,-155.09,72.28,95,75,4.61,US,moderate rain
116,lebanon,36.2081,-86.2911,43.18,64,0,10.36,US,clear sky
117,port elizabeth,-33.918,25.5701,67.32,92,100,16.11,ZA,light rain
118,innisfail,-17.5333,146.0333,75.65,94,23,4.05,AU,few clouds
119,cidreira,-30.1811,-50.2056,84.06,64,28,10.07,BR,scattered clouds
120,butaritari,3.0707,172.7902,80.94,77,11,25.59,KI,light rain
121,padang,-0.9492,100.3543,75.25,87,100,4.32,ID,moderate rain
122,mount isa,-20.7333,139.5,85.77,58,34,17.27,AU,scattered clouds
123,kirakira,-10.4544,161.9205,79.38,86,100,5.1,SB,overcast clouds
124,moundou,8.5667,16.0833,101.25,8,96,4.07,TD,overcast clouds
125,namibe,-15.1961,12.1522,79.38,71,100,11.41,AO,overcast clouds
126,gualaco,15.05,-86.05,69.64,61,25,3.13,HN,scattered clouds
127,kodiak,57.79,-152.4072,31.51,100,0,5.75,US,clear sky
128,todos santos,23.45,-110.2167,59.67,77,98,5.5,MX,overcast clouds
129,taloqan,36.7361,69.5345,34.48,89,100,1.9,AF,overcast clouds
130,abeche,13.8292,20.8324,96.13,7,95,0.49,TD,overcast clouds
131,beringovskiy,63.05,179.3167,16.07,96,97,6.15,RU,overcast clouds
132,ko samui,9.5357,99.9357,80.51,74,20,9.22,TH,few clouds
133,matangad,8.5769,124.37,78.62,84,58,1.77,PH,broken clouds
134,kifri,34.6959,44.9661,54.91,39,100,4.32,IQ,overcast clouds
135,sinnamary,5.3833,-52.95,78.4,72,97,8.25,GF,overcast clouds
136,salalah,17.0151,54.0924,80.69,24,0,14.97,OM,clear sky
137,lompoc,34.6391,-120.4579,49.51,82,75,4.61,US,broken clouds
138,nelson bay,-32.7167,152.15,77.09,93,38,10.0,AU,scattered clouds
139,erzin,36.9559,36.2,50.14,72,50,7.58,TR,scattered clouds
140,grindavik,63.8424,-22.4338,43.27,100,75,21.85,IS,broken clouds
141,ponta do sol,32.6667,-17.1,62.71,70,78,5.57,PT,light rain
142,harper,4.375,-7.7169,83.12,75,99,6.49,LR,light rain
143,victoria,22.2855,114.1577,58.24,35,37,1.99,HK,scattered clouds
144,tabas,33.5959,56.9244,44.71,44,14,2.24,IR,few clouds
145,sagua la grande,22.8067,-80.0756,72.59,63,32,17.31,CU,moderate rain
146,nome,64.5011,-165.4064,19.47,93,100,11.5,US,light snow
147,klaksvik,62.2266,-6.589,43.72,86,100,25.43,FO,light rain
148,kichera,55.9375,110.0997,2.7,88,100,2.08,RU,overcast clouds
149,codrington,-38.2667,141.9667,59.99,95,100,5.06,AU,moderate rain
150,coquimbo,-29.9533,-71.3436,65.93,77,0,2.3,CL,clear sky
151,lafia,8.4833,8.5167,99.61,21,82,5.12,NG,broken clouds
152,bethune,50.5333,2.6333,43.03,66,29,6.15,FR,scattered clouds
153,slave lake,55.2834,-114.769,-2.22,71,75,20.71,CA,broken clouds
154,kavaratti,10.5669,72.642,80.11,72,7,9.82,IN,clear sky
155,bambous virieux,-20.3428,57.7575,80.22,94,75,3.44,MU,light rain
156,oussouye,12.485,-16.5469,96.98,17,37,7.2,SN,scattered clouds
157,lebu,-37.6167,-73.65,63.64,64,0,17.43,CL,clear sky
158,karuzi,-3.125,30.1333,73.62,68,86,3.09,BI,overcast clouds
159,gambela,8.25,34.5833,98.94,18,41,6.29,ET,scattered clouds
160,luderitz,-26.6481,15.1594,75.67,58,0,30.76,NA,clear sky
161,lovington,32.944,-103.3485,34.32,72,28,10.31,US,scattered clouds
162,fairview,40.8126,-73.999,43.3,61,20,11.5,US,few clouds
163,karratha,-20.7377,116.8463,85.66,66,0,8.7,AU,clear sky
164,talnakh,69.4865,88.3972,-1.66,96,99,7.23,RU,overcast clouds
165,aberdeen,57.1437,-2.0981,46.2,69,82,10.36,GB,broken clouds
166,galle,6.0367,80.217,75.78,82,98,6.89,LK,overcast clouds
167,ancud,-41.8697,-73.8203,63.05,59,32,3.91,CL,scattered clouds
168,leningradskiy,69.3833,178.4167,1.31,95,100,12.01,RU,overcast clouds
169,poum,-20.2333,164.0167,79.56,79,100,7.16,NC,overcast clouds
170,beloha,-25.1667,45.05,79.75,73,100,24.34,MG,light rain
171,flinders,-34.5833,150.8552,77.18,88,99,3.0,AU,overcast clouds
172,mayo,38.8876,-76.5119,45.23,53,0,11.5,US,clear sky
173,okhotsk,59.3833,143.3,-11.4,83,100,11.14,RU,overcast clouds
174,tadine,-21.55,167.8833,75.81,88,100,10.67,NC,overcast clouds
175,muros,42.7762,-9.0603,53.83,60,31,15.86,ES,scattered clouds
176,natal,-5.795,-35.2094,88.45,51,40,17.27,BR,scattered clouds
177,poya,-21.35,165.15,75.09,89,99,4.7,NC,overcast clouds
178,bredasdorp,-34.5322,20.0403,62.78,70,100,14.52,ZA,light rain
179,west bay,19.3667,-81.4167,82.08,73,20,18.41,KY,few clouds
180,fort nelson,58.8053,-122.7002,-15.21,84,0,0.0,CA,clear sky
181,kapuskasing,49.4169,-82.4331,-11.11,70,20,10.36,CA,few clouds
182,kavieng,-2.5744,150.7967,82.71,75,13,9.46,PG,light rain
183,nikolskoye,59.7035,30.7861,24.69,85,92,10.78,RU,overcast clouds
184,trelew,-43.249,-65.3051,81.23,21,1,11.99,AR,clear sky
185,atar,20.5169,-13.0499,73.54,22,69,12.1,MR,broken clouds
186,mandalgovi,45.7625,106.2708,12.79,67,0,10.25,MN,clear sky
187,souillac,-20.5167,57.5167,79.18,94,75,3.44,MU,broken clouds
188,ludvika,60.1496,15.1878,32.34,86,100,4.34,SE,overcast clouds
189,carballo,43.213,-8.691,52.9,70,61,12.86,ES,broken clouds
190,tessalit,20.1986,1.0114,68.74,7,79,12.33,ML,broken clouds
191,vetluzhskiy,58.3902,45.4654,0.86,100,82,3.62,RU,broken clouds
192,vidim,56.4088,103.1106,12.25,96,100,7.05,RU,overcast clouds
193,port hawkesbury,45.6169,-61.3485,31.96,72,20,9.22,CA,few clouds
194,skibbereen,51.55,-9.2667,48.11,88,92,6.02,IE,overcast clouds
195,ziyang,29.2497,117.8547,31.95,53,0,2.1,CN,clear sky
196,khatanga,71.9667,102.5,-24.75,90,42,9.4,RU,scattered clouds
197,adelaide,-34.9333,138.6,69.44,88,100,6.91,AU,heavy intensity rain
198,muborak,39.2553,65.1528,33.55,60,58,5.64,UZ,broken clouds
199,bambanglipuro,-7.95,110.2833,76.89,90,100,5.91,ID,moderate rain
200,iqaluit,63.7506,-68.5145,-36.67,67,40,0.0,CA,scattered clouds
201,upernavik,72.7868,-56.1549,-2.85,92,100,3.13,GL,overcast clouds
202,san carlos de bariloche,-41.1456,-71.3082,62.35,36,0,5.75,AR,clear sky
203,pevek,69.7008,170.3133,-3.42,95,100,1.36,RU,overcast clouds
204,necochea,-38.5473,-58.7368,79.43,53,14,3.8,AR,few clouds
205,iracoubo,5.4802,-53.2011,78.28,73,93,7.87,GF,overcast clouds
206,saint george,37.1041,-113.5841,28.99,86,0,0.0,US,clear sky
207,dingle,10.9995,122.6711,74.79,93,100,11.54,PH,overcast clouds
208,moffat,55.3323,-3.4454,44.62,74,38,8.68,GB,scattered clouds
209,tezu,27.9167,96.1667,64.62,41,1,4.63,IN,clear sky
210,dunedin,-45.8742,170.5036,57.79,82,17,3.0,NZ,few clouds
211,vista hermosa,19.5167,-99.2167,54.55,59,0,3.44,MX,clear sky
212,vanersborg,58.3807,12.3234,42.64,81,100,6.91,SE,overcast clouds
213,naryan-mar,67.6713,53.087,14.92,96,99,7.7,RU,overcast clouds
214,lundazi,-12.2929,33.1782,70.39,86,100,4.14,ZM,overcast clouds
215,le port,-20.9373,55.2919,82.4,83,95,3.09,RE,light rain
216,prince rupert,54.3161,-130.3201,35.29,100,100,4.61,CA,fog
217,cherskiy,68.75,161.3,-18.74,94,100,2.3,RU,overcast clouds
218,charlestown,-32.95,151.6667,76.82,92,37,1.01,AU,light rain
219,ploemeur,47.7333,-3.4333,44.85,64,75,14.97,FR,broken clouds
220,te anau,-45.4167,167.7167,52.36,75,0,0.65,NZ,clear sky
221,petatlan,17.5167,-101.2667,66.0,38,6,0.76,MX,clear sky
222,goderich,43.7501,-81.7165,30.9,59,100,14.97,CA,overcast clouds
223,lagoa,39.05,-27.9833,57.76,70,50,12.75,PT,scattered clouds
224,hirara,24.8,125.2833,58.96,67,100,23.0,JP,overcast clouds
225,ulaangom,49.9811,92.0667,-18.49,96,83,2.8,MN,broken clouds
226,nioro,13.35,-15.75,98.29,9,74,11.65,GM,broken clouds
227,grand-santi,4.25,-54.3833,81.48,60,53,4.47,GF,broken clouds
228,changli,39.7042,119.1506,24.35,35,0,6.64,CN,clear sky
229,wagar,16.1525,36.2032,88.61,25,19,14.79,SD,few clouds
230,tucuman,-26.8241,-65.2226,73.4,88,100,3.44,AR,overcast clouds
231,san cristobal,7.7669,-72.225,68.18,48,59,4.18,VE,broken clouds
232,ngama,11.7833,17.1667,100.81,7,97,9.86,TD,overcast clouds
233,anito,12.4497,125.2886,76.59,90,100,7.99,PH,overcast clouds
234,bethal,-26.4579,29.4655,86.54,13,57,10.51,ZA,broken clouds
235,burnie,-41.0667,145.9167,63.95,77,100,8.39,AU,overcast clouds
236,bentiu,9.2333,29.8333,99.41,11,37,6.98,SS,scattered clouds
237,liku,-0.7275,119.8922,76.23,89,100,1.19,ID,overcast clouds
238,pasan,22.85,82.2,63.54,50,0,3.78,IN,clear sky
239,margate,51.3813,1.3862,43.9,68,38,6.73,GB,scattered clouds
240,hachinohe,40.5,141.5,20.07,74,100,14.32,JP,light snow
241,seoul,37.5683,126.9778,24.4,53,0,6.91,KR,clear sky
242,bethel,41.3712,-73.414,42.01,63,75,9.22,US,broken clouds
243,yellowknife,62.456,-114.3525,-12.48,77,20,18.41,CA,few clouds
244,saint-francois,46.4154,3.9054,36.84,72,100,12.66,FR,overcast clouds
245,the pas,53.8251,-101.2541,-16.58,76,0,11.5,CA,clear sky
246,nadrag,45.65,22.1833,34.95,97,100,3.94,RO,light snow
247,nogliki,51.8333,143.1667,-5.51,84,100,19.17,RU,overcast clouds
248,hobyo,5.3505,48.5268,77.07,72,3,19.73,SO,clear sky
249,grand baie,-20.0182,57.5802,80.46,81,93,5.01,MU,overcast clouds
250,hakkari,37.5833,44.1667,31.78,64,75,17.27,TR,haze
251,guerrero negro,27.9769,-114.0611,56.52,59,90,4.21,MX,overcast clouds
252,praia da vitoria,38.7333,-27.0667,62.76,82,40,9.35,PT,scattered clouds
253,dikson,73.5069,80.5464,-10.52,96,100,8.19,RU,overcast clouds
254,mersing,2.4312,103.8405,75.11,94,40,11.5,MY,heavy intensity rain
255,paamiut,61.994,-49.6678,20.64,91,100,29.35,GL,snow
256,progreso,21.2833,-89.6667,71.11,76,55,13.87,MX,broken clouds
257,chunskiy,56.0815,99.6342,17.38,97,100,2.93,RU,light snow
258,gigmoto,13.7796,124.39,74.84,91,100,23.73,PH,overcast clouds
259,srednekolymsk,67.45,153.6833,-31.95,98,94,0.4,RU,overcast clouds
260,morant bay,17.8815,-76.4093,83.71,69,100,20.36,JM,overcast clouds
261,butajira,8.1167,38.3667,72.1,32,23,11.12,ET,few clouds
262,ugoofaaru,5.6667,73.0,80.44,76,11,8.66,MV,few clouds
263,half moon bay,37.4636,-122.4286,48.88,94,0,8.05,US,mist
264,bonthe,7.5264,-12.505,84.78,65,75,10.13,SL,broken clouds
265,puerto escondido,15.85,-97.0667,80.44,47,0,3.2,MX,clear sky
266,swan river,52.1058,-101.2676,-18.51,76,32,11.5,CA,scattered clouds
267,cabo san lucas,22.8909,-109.9124,54.7,77,100,3.44,MX,overcast clouds
268,cockburn town,21.4612,-71.1419,76.75,60,93,19.73,TC,overcast clouds
269,mitsamiouli,-11.3847,43.2844,82.04,77,4,9.17,KM,clear sky
270,saint andrews,34.0454,-81.1293,41.45,81,20,0.0,US,few clouds
271,cururupu,-1.8283,-44.8683,84.02,67,91,6.85,BR,overcast clouds
272,garissa,-0.4536,39.6401,94.06,24,0,7.72,KE,clear sky
273,tiksi,71.6872,128.8694,-25.06,100,100,3.33,RU,overcast clouds
274,porto novo,6.4965,2.6036,85.82,60,46,13.49,BJ,scattered clouds
275,narsaq,60.9167,-46.05,28.62,67,100,22.53,GL,light snow
276,voznesenye,61.0106,35.4781,21.74,84,100,14.67,RU,overcast clouds
277,fairbanks,64.8378,-147.7164,15.1,80,100,0.0,US,overcast clouds
278,asau,46.4333,26.4,27.52,85,100,6.29,RO,overcast clouds
279,pangnirtung,66.1451,-65.7125,-38.94,99,100,3.65,CA,overcast clouds
280,ponta delgada,37.7333,-25.6667,59.72,67,75,11.5,PT,broken clouds
281,mandiana,10.6333,-8.6833,95.72,11,100,3.56,GN,overcast clouds
